Title,Company,Date,Location,Salary,Summary,Link
Web Developer,FortisureIT,25 days ago,"Akron, OH 44312",no data," Located in Green Ohio, FortisureIT is currently looking for an experienced, open-minded and versatile web developer who is eager to work towards implementing…",https://www.indeed.com/company/FortisureIT/jobs/Web-Developer-48ff75aa079cb5b1?fccid=82aad26a4dad8491&vjs=3
Software Engineer I,Find.Jobs,2 days ago,"East Cleveland, OH","$45,000 - $80,000 a year"," Think of your job search right now.Irrelevant results, poor page speed, annoyingly useless filters.At no other business will you have the opportunity to…","https://www.indeed.com/company/SecondGeneration,-Ltd./jobs/Software-Engineer-a1ca9d57df7f01ff?fccid=b2b9bb5acf21d3f5&vjs=3"
Senior Full Stack Developer,AVALUTION Consulting,30+ days ago,"Cleveland, OH 44101",no data," Avalution is looking for a passionate senior developer to join our full stack dev team based in Cleveland, Ohio.Docker (or other container technology).",https://www.indeed.com/rc/clk?jk=7f053b4b14ae8e70&fccid=d244d566b6941cde&vjs=3
Python Developer Senior to Lead,Progressive,30+ days ago,"Mayfield Village, OH",no data, Python Developer Senior to Lead.The Digital Marketing team is in need of a full stack Python developer to build an internal web application to support Digital…,https://www.indeed.com/rc/clk?jk=5673d419bed97284&fccid=082e59b71e3e4fe2&vjs=3
Software Engineer - Analytics,DialogTech,1 day ago,"Cleveland, OH",no data," You will work with multiple languages such as Python, PHP, and Javascript as well as key AWS tools and services such as EC2, SQS, Lambda, and Kinesis to deliver…",https://www.indeed.com/rc/clk?jk=782ca9b2dfd992e5&fccid=825d153aec833ca2&vjs=3
Big Data Developer,"CGI Group, Inc.",Today,"Cleveland, OH 44114 (Downtown area)",no data," 6+ years of experience with HIVE, Sqoop, and Python.CGI has an an immediate opening in Cleveland OH for an experienced BIG Data Developer with 6+ years of…",https://www.indeed.com/rc/clk?jk=86aa1a754c5f268c&fccid=d2841a5c0380b93d&vjs=3
Software Engineer I,"ZIN Technologies, Inc.",22 days ago,"Cleveland, OH 44130",no data, Completed related tasks within Python with multithreading support.Provide software solution to meet the needs of the laboratory testing capability of the…,"https://www.indeed.com/company/ZIN-Technologies,-Inc./jobs/Software-Engineer-05976c639fa409b0?fccid=5c16398b13e23042&vjs=3"
Embedded Software Engineer,Theiss UAV Solutions,4 days ago,"Salem, OH",no data," Must know C++, Linux, Ubuntu, Python, and ROS (Robot Operating System).We have need for embedded software engineers/programmers that can work in C++, Linux,…",https://www.indeed.com/rc/clk?jk=c4f4a7b62750396f&fccid=56dd5f869337ad5a&vjs=3
Senior Industrial Applications Developer,Sherwin-Williams,3 days ago,"Cleveland, OH",no data, The developer will create new and maintain existing SWBatch applications and work closely with the Watson team to provide Historian links to these SCADA systems…,https://www.indeed.com/rc/clk?jk=ec5ef6aaf2aa7655&fccid=94f8a3a6ac5079e2&vjs=3
Sr. Application Developer,Goodyear,30+ days ago,"Akron, OH",no data," Preferably Python, Java and C#.Python experience is a plus.This role will support Global Technology’s Innovation Beyond Tires strategy.",https://www.indeed.com/rc/clk?jk=8133fa86c090b232&fccid=e451672f561ffb08&vjs=3
Back End Software Engineer,LeafFilter Gutter Protection,5 days ago,"Hudson, OH 44236",no data," Enhance DevOps practices and developer tooling.Work with a modern and diverse tech stack, with technology ranging from PHP to Python and C#/.NET.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN4HTjSpg-URDVZANUOzLoPqX2aI5Mvt-Jtbs12J84vVM3iprtXOwptmWfEiCtzqIpeHxNS7b2rjXzoHLdM8o5vrjhoxe7_dtcc-Gl3fx_aVdA6a3uGZ8Mj_LpF24KujoxWsJa7f8sPPqBBOxl1_nd4rTmoGlZTpwOlU7GOTliP53SivB5friexJ4arwvHUAqdvT2-pzd4PvWhcAn8aogxy0oYtQJ1y-IOKjvpcVy3bprJALj-h__C8oGTPXDHsoX-EL3XeG2A2xW7Qmyev85I8qbPOQEEBKtYZWp7Ya_uNyw_kCV575XyMWpIb4VvlwX0HBWezz3F-9QlAl8SpJCNbZOoSkhr81vxdgWqbfR9KeNr1sKSgR6vq3_qcApivpfkKRn8IZSP-T0UCzM3ifba7GZLyWlFQBMc5j4xyY04rsDMjP-3Rc3NQ8PYP_-0ZJhEuvd8rfTe8IvK_8YXucTkbEsXvQcCe7civ6VdL7pRqiUuBWpNko84CzpLtk8Mizf69sU6B-vWIDLqzFUMBRDlSSS0oTqLUI6g5AahNFUCYLy52o42oCRZVMPALdjKC2iws0gkBIfsjOcF9lCT87-gzFix7akVKainZXrdRlAr_cgxmhS77p0RnAIr8SOHpTU=&p=15&fvj=0&vjs=3
Quality Assurance Engineer,Patriot Software,16 days ago,"Canton, OH",no data," Scripting languages for test automation e.g., Ruby, Java, Python.We are looking for a Quality Assurance Engineer to join our fast paced development team.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHedpvpXdEsaK4PWVik6d5d_gh7qP0dihMo_Ne_EB-Xj3H3RHAqMxAomrCTkelnw3wJ7l-FtkJMDoFcJdVWhvFlWpo8MWRKIst8zAWJbrPccAm3MjAnlRHbOxZmJ6rlZeWWeXHimqOQEAUBVEN5b0zKGwKviv7egBBRlRt2MmoCrXJmq54LcWYOBgkteMXuENl9x036tM4yBCacbTFqKIAhXCncp9DLhWyuIbOFwSicJUNXfs4LypbTrk8GCYqWKYw3bwt4TB8ovY-Fmw607nDv4ee_yflfvPXhPMvi68UgI0h2S90n9GwLIxr6Rggz7a-gQ_KWlQWBVus1mJjH-KS4uf9v7dlgwwuA3toLcIEaWbKh5jN9Te8T_RrVrZOYMh7hAwceMQYv1eYDjbeGSMIm8RCGQHhCRV3__tmtvQl_ELcg8ynUUz48pQxHcNnXwAkGCXkmEDcGniGAVNgn_jJFTQ6n8LpzmNWTW1TX-fdoc7uoJCp4d9RK19xGjkttBKf1OaRFFyAYXIxGCoT-9Ihjf8_uAwhQ_2JzcsUZdBfHRsUQAKXaLar3Iy5Ajr56WbbHWxAxU-kfzh9eIoHAbsKeA6JeKYJPlVIA2QPrFyAiunWs8WR7t4Kq3JTmUPTaprpswvjSJWry-3ecPNg4niBb0q0XhfonlY=&p=16&fvj=0&vjs=3
D365 AX Developer,Agility Business Solutions,30+ days ago,"Cleveland, OH",no data," What you’ll do as a Developer:HTML5, CSS, JavaScript, ASP, Python, XML and SQL skills are a plus, as is familiarity with Microsoft Visual Studio development…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bx1fXn6alTMpFeDNCF4CS42N3f1cgysk8lkLxcSpX4r2tjKoEiTmILkqOeTpt8w6M9xPUEsPPWrwtHl7Jg2l6-UGik6s7fVaCVVXxQ0YRWcY_UB8gB-k5HDLL5rXceEPhIN2hSF1525NWnZGngTWbtuvtJsBjNDpoDhIXXGOt0Anjc2b79PKbzl2bxfi0ByeHZtxOWSaoQvyJJ8y9DzaGrJIgeOjZpJ33quvRszn1fLnIUKjyvDnaQaB5FqYLgXPngig9MVl2LTyVonSJi9FPpwHBGpIwq7hj37pTJQ-FZEPhjiof4nXGmncB2umi8eWGiq74izAMmDkZyRb9VkUfcYIGaFpT974aySUdTsGSqfRNI3SxGsEbi71uN-tEq_Npxog18BoIUNkzE2VByhqS2IrpWbC-ZlmHuNgS0Jo-4j977n6ssr7Tc1ohKbycgAo53PWNAaGiQ8LDdYbzPG5CNYzfFt1oMuZg=&p=17&fvj=1&vjs=3
Sr Application Software Engineer,The Timken Company,30+ days ago,"North Canton, OH 44720",no data," Familiarity with common protocols and languages (http, ftp, HTML, XML, JSON, MATLAB, LabVIEW, Python, Javascript, R, etc.).",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cx0OrPzCAuK2R1MRT2pFqDWoS6NgHx-402lOBEwKTcTgTVbEJapIPsymrlMZCMmAiQdJLjQgDtCteLJBbTmsLidOOShXjAHYwlAvvqTWg1pSCDyDI2_qt2FN-sNx8pxRG8mC0U2nvDQtb1DaRGEqsNV1UGUlZ8yi4I0xV9TnmJjjg9rGhY58u_ComIalB0Y3hemWXjuzW4L05tUC77d2T1xeN_nBBW1PUKTrbWGN5FvsZ7p04-Ab1UxH8M7BbMf0Cif5G_yhAHJ7heYpRQOYFgluuonDoV5MgS4WXaprxjkrYbc_y5WlAWq5HCkX7JtJiDYskaGNQt7rYYlLsmCc_aVuZAJO24f13MfJ970_wxvcKcsyW7min0kWaEatp5EIT05JE3Wbg8vnfgdhqGmZ4qFq_Ozgo7q_JN0NcK7OgF72SS6r-w_7E2oT1hkaE2hCf5tTPT_ThPcTYoN0QSst3ieavsBOUJiumAZ9WjvnhKeBkYvNaWC3FMpwR2gp3lhRtoe0IBEo-iRmrSRVPPRBC-zc_Loj53MP129rS98Ao6J3z7qZjmJt7auQNpd8NL3w0pYrtoe_qisg==&p=0&fvj=0&vjs=3
